gridkey_on,gridkey_off,count
112100331200,112100330201,1
112102110121,112102112003,1
112101222030,112101222030,6
112102222021,112102222020,1
112100323211,112100323310,3
112100330201,112100323102,10
112100332110,112100323103,1
112100332212,112100321322,2
112100321231,112100323021,1
112100321312,112100330200,9
112102102320,112100323110,1
112100332202,112100323012,1
112100323211,112100323301,29
112100323000,112100323030,12
112100321323,112100323030,3
112102031111,112102013332,1
112100332003,112100332021,38
112102331212,112102330310,1
112100323030,112100321323,3
112100323030,112100323000,2
112100323103,112100332203,1
112100322311,112100323100,2
112100323031,112102100103,2
112100322322,112100322320,4
112100332031,112100332002,1
112101222202,112100333313,1
112100323013,112100321212,7
112100332201,112100332113,1
112103120313,112103120303,1
112100300302,112100300302,14
112100321221,112100330220,1
112102101003,112102101002,4
112100321323,112100323103,49
112100323030,112100330230,1
112100323033,112100323023,87
112100323012,112100332020,4
112100323013,112100323121,468
112100323000,112100323033,3
112100322032,112100322210,2
112102111211,112100323103,1
112100332011,112100332031,1
112100332300,112100332310,1
112100332110,112100323030,1
112100323003,112100322320,2
112100321333,112100330231,1
112100321230,112102100010,1
112100330322,112100330232,11
112100323031,112102110121,4
112100321230,112100321023,1
112102100033,112102100300,2
112100323031,112100321022,1
112100323113,112102110130,1
112101213233,112101231110,1
112100322302,112100323032,1
112102121231,112102112001,1
112100322100,112100321231,1
112100332322,112100321230,1
112100323103,112100323023,24
112100321313,112100321230,8
112102123331,112102123232,1
112100323112,112100323010,6
112100323200,112100323033,11
112100323130,112100323133,10
112100320303,112100321221,1
112102111222,112102111222,1
112100321332,112100321313,3
112100330201,112100330021,2
112100323122,112100323311,5
112101222120,112101222030,1
112100323202,112102100101,1
112100321233,112100320311,3
112100333103,112100333012,1
112100330322,112100330201,1
112100332233,112102110123,1
112100323101,112100321320,3
112102020021,112102020000,1
112100323230,112100323231,7
112102001321,112102100030,1
112100321233,112102101303,1
112100330201,112100323101,3
112100330220,112100321232,1
112100231011,112100323131,1
112102120031,112102100103,1
112100323130,112100321221,2
112102121023,112102121021,1
112102101100,112102101101,2
112100323012,112100323123,32
112100321231,112100323031,8
112100323200,112102100110,1
112102103020,112102103020,10
112100323123,112100332023,1
112100323122,112102101110,2
112100330021,112100321320,1
112100323123,112100323202,5
112100323123,112100332001,1
112100332232,112102112200,1
112100323112,112100323132,12
112100323100,112100311030,1
112100330120,112100323003,1
112102232303,112102232201,1
112100331231,112100331321,6
112100321133,112100323012,2
112100321231,112100321220,13
112103002321,112100323023,1
112100330221,112100323012,1
112100332311,112100333023,1
112100321233,112100323110,63
112100322303,112100322313,1
112102101022,112100323033,1
112100330120,112100132301,1
112100320213,112100320211,1
112100320302,112100320300,1
112102110011,112100323102,1
112100323011,112100323211,1
112100332033,112100323100,1
112100323021,112100322102,1
112100321221,112100321210,1
112102110122,112100323103,1
112100323003,112100321333,7
112100323201,112100323013,40
112102103100,112100323030,1
112103033213,112103032023,1
112101222202,112100323131,1
112101222332,112101222022,1
112100321232,112100321223,285
112100323120,112100321230,41
112102103203,112102103203,43
112100323011,112100323300,3
112102312332,112102330101,2
112100323311,112100321332,1
112100320311,112100320313,1
112100323102,112100323331,4
112100332001,112100332012,1
112100323120,112100332030,2
112102121213,112102121320,1
112100332211,112100332033,3
112102101301,112102101110,1
112100323212,112100323311,1
112100321221,112100321333,6
112100323013,112100321311,3
112100323011,112100332033,4
112100331330,112100330322,1
112100321322,112100213313,1
112102120302,112102120211,1
112102100212,112102112201,1
112100323121,112102101001,1
112100302103,112100302103,2
112100323023,112100323002,17
112102332123,112102332121,13
112100323132,112100323100,23
112102101030,112100323003,1
112100323212,112100323303,1
112101210333,112101132302,1
112100333311,112100332033,1
112100323322,112100323013,1
112100332333,112100333222,1
112100321122,112100323103,1
112100321230,112100332200,1
112101222202,112100333123,1
112101222100,112101222101,6
112102100110,112100322322,3
112100321311,112100321301,2
112100332002,112100323121,28
112100330222,112100323131,1
112100323110,112100323202,1
112102110102,112102110123,5
112100323110,112100332001,1
112100323120,112100322312,1
112100322131,112100323031,2
112100323100,112100330223,2
112100323211,112100323100,1
112100323031,112100321233,43
112100322303,112100322330,1
112100322102,112100322102,426
112100302201,112100213313,1
112103222010,112103222030,2
112100323120,112102012333,1
112100321220,112100321233,35
112100323023,112102112130,1
112100323030,112100323311,1
112100322101,112100320332,1
112100333313,112100333311,1
112100311333,112100313222,1
112100332110,112100332013,1
112100321332,112100330302,1
112102310310,112102310132,1
112100323102,112100323101,647
112100322312,112100323123,4
112100323121,112100321313,6
112100323022,112100323121,3
112100332111,112100332200,1
112100323311,112100332002,1
112100322313,112100323211,1
112100321322,112102110130,1
112100323111,112100321230,2
112100323100,112100321310,2
112100322113,112100323021,1
112102111211,112102111033,23
112100323030,112100323303,1
112100321310,112100323031,1
112100322201,112100322201,3
112102100103,112102001303,1
112100330201,112100312330,1
112100312103,112100312103,2
112102101023,112102101022,2
112100320303,112100320301,1
112100323100,112100323012,185
112100323033,112100323003,97
112100321332,112100323121,27
112100330322,112100330220,3
112100323112,112100323020,2
112100323120,112100323312,1
112102311311,112102110323,1
112102110122,112102110102,2
112100323010,112100323100,115
112102120123,112102120031,1
112100321101,112100321313,2
112101023223,112101023232,2
112100323211,112100323213,41
112100320133,112100330322,1
112100321310,112100321312,76
112100332033,112100332210,5
112100323121,112100321311,2
112100323030,112102110123,1
112102110132,112102110121,3
112100303333,112100303333,2
112102100100,112100322322,6
112102110103,112102110121,1
112101302211,112101123332,1
112100321232,112100323113,1
112100332230,112100332232,1
112102112001,112100323010,1
112102121231,112102121213,2
112100323103,112100323003,63
112100323131,112100321320,1
112100321320,112100321230,360
112100323120,112102100203,1
112102102212,112102102212,1
112100121131,112100121131,1
112100323300,112100323213,14
112100322300,112100322032,1
112102120310,112102120312,3
112102111002,112100332201,1
112100330220,112100321331,31
112100323120,112100320331,1
112100321222,112100320321,1
112101330001,112101330001,4
112100320131,112100321221,1
112100323103,112100322322,1
112100323013,112100321313,12
112100332232,112100323100,1
112100321333,112100321320,29
112100321230,112100323123,3
112100321221,112100330201,4
112100221223,112100223120,1
